iter	Logloss
280	0.1580251257
281	0.1579361764
282	0.1578046154
283	0.1577071236
284	0.1575759654
285	0.1574892314
286	0.1574052667
287	0.1572957751
288	0.1572219304
289	0.1570879023
290	0.1569697676
291	0.1568847287
292	0.1568130994
293	0.1567059574
294	0.1566098083
295	0.1565311637
296	0.1564282007
297	0.15636023
298	0.1561368162
299	0.1560449803
300	0.1559692223
301	0.1558787626
302	0.1558115639
303	0.1557390115
304	0.1553430697
305	0.155198418
306	0.1550493021
307	0.1549373602
308	0.1548249149
309	0.154483014
310	0.1543384294
311	0.1542851605
312	0.1539918796
313	0.1539021919
314	0.1536946044
315	0.1536134927
316	0.1535551051
317	0.1534272698
318	0.1533673885
319	0.1532601291
320	0.1531599856
321	0.1530736544
322	0.1530032502
323	0.1529276266
324	0.1528747437
325	0.1527494259
326	0.1526857852
327	0.1525992694
328	0.1524838703
329	0.152404202
330	0.1523377249
331	0.1517113373
332	0.1516146511
333	0.1515543334
334	0.1514522767
335	0.1514039924
336	0.1513103607
337	0.1512066424
338	0.1511066836
339	0.1510583153
340	0.1507357482
341	0.150612394
342	0.1504837197
343	0.1503769302
344	0.150259601
345	0.1501981421
346	0.1500785473
347	0.1497662849
348	0.1497097098
349	0.1496275408
350	0.1495475871
351	0.1494565064
352	0.1493990418
353	0.149322193
354	0.1492375905
355	0.14895255
356	0.1488500569
357	0.1487513232
358	0.1486876489
359	0.1486065372
360	0.1485377945
361	0.1484487781
362	0.1483739432
363	0.148265358
364	0.1481809568
365	0.1481025975
366	0.1480466937
367	0.1479688715
368	0.1478686777
369	0.1478149221
370	0.1477158863
371	0.1476237483
372	0.1475372661
373	0.1473016344
374	0.1472003161
375	0.1468452238
376	0.1466277512
377	0.1465193673
378	0.1464507085
379	0.1461726833
380	0.1461042594
381	0.1460405516
382	0.1460115676
383	0.1459339299
384	0.1458524994
385	0.1457748114
386	0.1457025779
387	0.1456484531
388	0.1455661834
389	0.1454636232
390	0.14536786
391	0.1452953076
392	0.1452360808
393	0.1451733296
394	0.1451239544
395	0.1450651471
396	0.1449430516
397	0.1448668741
398	0.1447778577
399	0.1446996327
400	0.1446097603
401	0.1445036254
402	0.1443796334
403	0.1443177046
404	0.1442483073
405	0.1441408298
406	0.1439715408
407	0.1439037044
408	0.1438583067
409	0.1437569213
410	0.1437004972
411	0.143633416
412	0.1434001339
413	0.1433159342
414	0.1430209582
415	0.1429685788
416	0.1428918139
417	0.1428187077
418	0.1427677716
419	0.1426864417
420	0.142444785
421	0.1423878239
422	0.1422921782
423	0.1422138021
424	0.1421697471
425	0.1421152363
426	0.1420719364
427	0.1419824165
428	0.1419333098
429	0.1418567295
430	0.1417650278
431	0.141688951
432	0.1415917781
433	0.1415336925
434	0.1414751202
435	0.1413663839
436	0.1410811756
437	0.1410262284
438	0.1407867199
439	0.1407479682
440	0.1406761374
441	0.1406039291
442	0.1403648485
443	0.1402809341
444	0.1402217828
445	0.140110034
446	0.1400308355
447	0.1399572258
448	0.1398638542
449	0.1398057854
450	0.1397310848
451	0.1396725881
452	0.1396444935
453	0.1395802738
454	0.1394992377
455	0.1394365704
456	0.139373408
457	0.1393279347
458	0.1392968277
459	0.1392086924
460	0.1391301652
461	0.1388869645
462	0.1387827763
463	0.1387126155
464	0.1386099126
465	0.1385569038
466	0.1384483438
467	0.1383598224
468	0.1382798856
469	0.1382019374
470	0.1379627981
471	0.1378880471
472	0.1378300371
473	0.1377768857
474	0.1377330656
475	0.137668955
476	0.1376069674
477	0.1375430498
478	0.1374632136
479	0.1373838725
480	0.1372983721
481	0.1372310308
482	0.1371373823
483	0.1369353835
484	0.1368878376
485	0.1368293073
486	0.1367662623
487	0.1367256142
488	0.1366248917
489	0.1365487813
490	0.1365012019
491	0.136459832
492	0.1364071254
493	0.1363662926
494	0.1363054127
495	0.1362443482
496	0.1361755803
497	0.1361164878
498	0.1359972873
499	0.13591584
