iter	Logloss
0	0.6553869569
1	0.6157303428
2	0.5854161565
3	0.5454779591
4	0.5327118228
5	0.5067097302
6	0.485750156
7	0.470126935
8	0.4584901526
9	0.4480134703
10	0.4245399878
11	0.4160711428
12	0.4015271284
13	0.3963965669
14	0.3828726499
15	0.3790967022
16	0.3691240099
17	0.3661476996
18	0.3593577808
19	0.3464726538
20	0.3347676994
21	0.3245023808
22	0.322313859
23	0.31599131
24	0.3111912706
25	0.3080193054
26	0.3003930283
27	0.2989913553
28	0.2921916353
29	0.2912703221
30	0.2903003385
31	0.2846140621
32	0.2784496582
33	0.2732171407
34	0.2703373152
35	0.2681919422
36	0.2638349039
37	0.2606520466
38	0.2584488734
39	0.2576237261
40	0.2559884018
41	0.2526872923
42	0.2518596443
43	0.2504369928
44	0.2497579908
45	0.2471396258
46	0.2447419725
47	0.2440558714
48	0.2428018878
49	0.2400247903
50	0.2372513683
51	0.235846087
52	0.2337397846
53	0.2327516923
54	0.2318857793
55	0.2300288706
56	0.2294870352
57	0.2285270541
58	0.2281710556
59	0.2274647311
60	0.2256440566
61	0.2218640811
62	0.220327138
63	0.2183241511
64	0.2165723536
65	0.2151573046
66	0.214284645
67	0.213815127
68	0.2132853417
69	0.2129472001
70	0.2116989227
71	0.2108655014
72	0.2097351909
73	0.209319311
74	0.207911076
75	0.2072726382
76	0.2069358393
77	0.2064441511
78	0.2059622642
79	0.2056291407
80	0.2052976787
81	0.2029458091
82	0.2025062822
83	0.2018656291
84	0.2015600463
85	0.2012387212
86	0.2006648641
87	0.1992102914
88	0.1989630628
89	0.1987265248
90	0.1978193092
91	0.197415664
92	0.1966812785
93	0.1963411566
94	0.1958989611
95	0.1956345468
96	0.1954102603
97	0.1950573666
98	0.1948398604
99	0.1946088776
100	0.1943150092
101	0.1939955974
102	0.1937463548
103	0.1934036818
104	0.1930919062
105	0.1928760783
106	0.1923659793
107	0.1921320594
108	0.1918409771
109	0.1914866568
110	0.1912236019
111	0.190948866
112	0.1901590803
113	0.1899470453
114	0.1895869517
115	0.1894036155
116	0.1891338642
117	0.1889371184
118	0.1887338945
119	0.1883849615
120	0.188191136
121	0.1878862077
122	0.1876702959
123	0.1874796759
124	0.1872572859
125	0.1870349798
126	0.1868627706
127	0.1866481008
128	0.1864529829
129	0.185937161
130	0.1857295903
131	0.1855499631
132	0.1853694463
133	0.1851045956
134	0.1849261936
135	0.1848047191
136	0.1845716887
137	0.1844440045
138	0.1843211706
139	0.1841250458
140	0.1834152976
141	0.1833017782
142	0.1830861181
143	0.1829266807
144	0.181411203
145	0.1810840038
146	0.1809255902
147	0.1807738561
148	0.1805879018
149	0.1804352614
150	0.1799325972
151	0.1797544973
152	0.1791510687
153	0.1786927784
154	0.1785564007
155	0.1784079057
156	0.1782181417
157	0.1778849175
158	0.1777265542
159	0.1776091915
160	0.1768937035
161	0.1767902538
162	0.1765069419
163	0.1763369481
164	0.1761777457
165	0.1760844496
166	0.1759219074
167	0.1757934344
168	0.1756531295
169	0.1754732673
170	0.1752869269
171	0.1751423424
172	0.1750217405
173	0.1745680488
174	0.1744294725
175	0.174287204
176	0.1740961812
177	0.1738748821
178	0.1737114168
179	0.173609293
180	0.173496277
181	0.1732524049
182	0.1731500629
183	0.1724046007
184	0.1723100459
185	0.1721847953
186	0.1719546348
187	0.1718264639
188	0.1716983266
189	0.1715707095
190	0.1714550922
191	0.1710678439
192	0.1709332116
193	0.1708258851
194	0.1707347205
195	0.1705708859
196	0.1701828824
197	0.1700859613
198	0.1699187869
199	0.169811259
200	0.1697183825
201	0.1696295843
202	0.1695289038
203	0.1694082348
204	0.1692362942
205	0.1691410849
206	0.1690337583
207	0.1688817389
208	0.1687894834
209	0.1687050991
210	0.1685801169
211	0.1684975284
212	0.1683775475
213	0.1682474298
214	0.1681693726
215	0.1680464883
216	0.167942854
217	0.1678128034
218	0.1673029394
219	0.1672105328
220	0.1670402201
221	0.1669120324
222	0.1667875538
223	0.1666607255
224	0.1665571248
225	0.1664518961
226	0.166327837
227	0.1660366036
228	0.1658674993
229	0.1657652579
230	0.1656422058
231	0.1655750575
232	0.1654389315
233	0.1653100725
234	0.1648545179
235	0.1644384366
236	0.1643444525
237	0.1642100216
238	0.1641072767
239	0.1639435429
240	0.1638477294
241	0.163681025
242	0.163556882
243	0.1634307251
244	0.1633645502
245	0.1632140077
246	0.1631270724
247	0.1630377538
248	0.1629138122
249	0.1628298978
250	0.1627480141
251	0.1626225117
252	0.1617768054
253	0.1616685893
254	0.1615588964
255	0.1613664638
256	0.161220201
257	0.1611528513
258	0.1610594042
259	0.1609277928
260	0.1608026092
261	0.1607095314
262	0.160650422
263	0.1605418368
264	0.1604058451
265	0.1603472896
266	0.1602467769
267	0.1598113282
268	0.1597580928
269	0.1596590235
270	0.1595726252
271	0.1594920673
272	0.1593108625
273	0.1592068758
274	0.1588433585
275	0.1587496261
276	0.1586787855
277	0.1585209593
278	0.158429459
279	0.1583634855
